entry_date,expiry_date,entry_spot,final_spot,strike,entry_cost,final_pnl,trade_return,max_drawdown,number_of_hedge_trades,cumulative_hedge_turnover,cumulative_hedge_costs,hedge_turnover_ratio,capital_after_trade
2023-03-15,2023-04-14,372.2232971191406,395.8927612304688,372.22,1750.7683500666735,-202.4093695063675,-0.11561173669758153,-341.3754974488904,12,106132.7766418457,11.983277664184572,60.62068499113769,97090.36394766052
2023-04-27,2023-05-27,395.8447570800781,403.149169921875,395.84,1630.0957750807436,-494.4152351344744,-0.3033044086688615,-641.8885272467544,18,155084.67236328125,17.458467236328122,95.13838066085377,96595.94871252605
2023-06-09,2023-07-09,412.63232421875,422.4984130859375,412.63,1553.3499658624269,-485.3913348327437,-0.31248034602637165,-473.30277679408505,13,74517.70642089844,8.336770642089844,47.9722587044484,96110.5573776933
2023-07-25,2023-08-24,438.770263671875,420.8992004394531,438.77,1371.0158426677806,-179.86736611749416,-0.13119277000293492,-249.14306725010988,13,120741.55279541016,13.484155279541016,88.067219238303,95930.6900115758
2023-09-06,2023-10-06,429.8877258300781,415.2779235839844,429.89,1502.4460055455347,-161.65241561633707,-0.10759282864054835,-254.8710818143229,12,118662.8364868164,13.276283648681641,78.97976769137217,95769.03759595947
2023-10-18,2023-11-17,415.9256896972656,435.8223876953125,415.93,1515.1475336176147,26.334676758362093,0.017380932334348047,-256.2640941552818,20,174558.02770996094,19.535802770996092,115.20860103516165,95795.37227271782
2023-11-30,2023-12-30,441.2460632324219,461.3912963867188,441.25,1497.2679349811565,-395.81559914836294,-0.2643585626198189,-384.110188723741,13,70138.17752075195,7.793817752075195,46.844105775653745,95399.55667356946
2024-01-16,2024-02-15,461.0224304199219,487.3094787597656,461.02,1427.2383752350663,-57.75451311958159,-0.040465919443953724,-277.8051347663459,14,136296.0153503418,15.059601535034181,95.49632192862936,95341.80216044988
2024-02-28,2024-03-29,491.4350280761719,509.330322265625,491.44,1707.3530179342738,-483.6435825796441,-0.28327099170434267,-488.8830686793078,14,102834.32083129883,11.313432083129886,60.23026272312334,94858.15857787023
2024-04-11,2024-05-11,504.3935546875,507.1589660644531,504.39,1525.850631121355,-204.66354865963785,-0.13413078874517986,-420.918325216634,17,162681.14016723633,17.908114016723637,106.61668766862269,94653.4950292106
2024-05-23,2024-06-22,512.14453125,531.917724609375,512.14,1595.2784551167892,-487.21225737195846,-0.3054089120361686,-474.6921619360703,12,82424.86590576172,9.037486590576174,51.66801171380921,94166.28277183864
2024-07-09,2024-08-08,542.9661254882812,518.3782958984375,542.97,1292.0807807295198,1188.9443215776298,0.9201780100051807,-106.03135239553285,18,274110.3649291992,29.981036492919927,212.14646097779905,95355.22709341627
2024-08-20,2024-09-19,545.779541015625,557.7755737304688,545.78,2564.2447763066857,-976.8217303960455,-0.38093934690703524,-1262.326011475258,16,174164.8607788086,19.016486077880856,67.92052864378277,94378.40536302023
2024-10-02,2024-11-01,557.4090576171875,559.545166015625,557.41,2002.3181123093823,-658.8479253708815,-0.3290425838534699,-802.2996028712541,15,162754.9979248047,17.72049979248047,81.28328706825236,93719.55743764935
2024-11-13,2024-12-13,585.1687622070312,592.0474853515625,585.17,2058.5049342340567,-1068.1211420587629,-0.5188819926031399,-1147.1907832038828,16,173211.8130493164,18.79118130493164,84.14447309244187,92651.43629559058
2024-12-27,2025-01-26,584.9949340820312,597.7367553710938,584.99,2146.5210638141525,-489.5569756415696,-0.22806996115457445,-472.84591672949887,14,163038.94720458984,17.698894720458988,75.95497195582418,92161.87931994902
2025-02-12,2025-03-14,593.2044067382812,553.3369140625,593.2,2038.5747839532269,358.544452472559,0.1758799604973361,-318.5132216131501,15,205755.33154296875,22.365533154296873,100.9309705793406,92520.42377242158
2025-03-27,2025-04-26,559.2122192382812,543.0003662109375,559.21,2633.9304465536666,3459.073046656396,1.3132742556593995,-749.5318007453193,14,171542.9774169922,18.779297741699214,65.12813489112648,95979.49681907798
2025-05-09,2025-06-08,556.5103149414062,590.8274536132812,556.51,3403.4411841774586,-803.5404070112877,-0.23609645753449,-1198.900975940298,10,80100.38348388672,8.700038348388674,23.535116121962698,95175.95641206669
2025-06-24,2025-07-24,600.13037109375,627.4674682617188,600.13,3087.5507418920115,-1655.0137839574334,-0.5360280436859354,-1632.029535258486,14,132814.20935058594,14.351420935058595,43.01604101547465,93520.94262810926
2025-08-06,2025-09-05,625.845458984375,640.14697265625,625.85,2195.917134205866,-950.0565262346745,-0.4326468023021524,-932.9287340099045,15,178484.25262451172,19.24842526245117,81.28004916226448,92570.88610187458
2025-09-18,2025-10-18,655.0023803710938,658.9308471679688,655.0,2006.2540856172138,112.86866382048697,0.0562584094555319,-752.3943994522308,19,274290.63946533203,29.519063946533198,136.7177973277238,92683.75476569506
2025-10-30,2025-11-29,674.2439575195312,677.7747192382812,674.24,2620.0631274286543,-722.6118915161023,-0.2757994202320148,-702.268606751481,16,225023.09051513672,24.187309051513672,85.88460642777555,91961.14287417896
