Date,Close,High,Low,Open,Volume,simple_return,log_return
2023-01-20,378.5340576171875,378.68705053096147,371.36267892386525,373.0073162714171,91806400,0.018628784420941846,0.018457393876223867
2023-01-23,383.0759582519531,385.0074392135379,378.3810918291715,379.3372757234957,84178800,0.011998657831097548,0.011927244610538148
2023-01-24,382.6647644042969,383.5731214964874,380.2169362364954,381.40259479828296,59524900,-0.001073400297770144,-0.0010739768044549923
2023-01-25,382.8082580566406,383.14292828207675,376.3157607326886,378.6010544265812,84800300,0.00037498527612567223,0.00037491498671812963
2023-01-26,387.0154724121094,387.1780365308271,382.5022827834098,385.466459007332,72287400,0.010990396019216142,0.010930440506780863
2023-01-27,387.90472412109375,390.2760709827511,385.7628812656745,385.97324291614746,68346200,0.002297716169955777,0.0022950804567986424
2023-01-30,383.03765869140625,387.37874124310093,382.7412440526751,385.15081668441593,74202000,-0.012547064077951586,-0.01262644316839946
2023-01-31,388.6697082519531,388.7175057829121,383.20987624486537,383.5541176812042,86811800,0.014703644492262136,0.014596593990805146
2023-02-01,392.8003234863281,395.5445957142965,384.7205872650518,387.4552591361378,101459200,0.01062757180885665,0.010571496116664617
2023-02-02,398.518310546875,399.98127069479483,394.78919930515946,396.6824246845757,101654500,0.01455698154674745,0.014452045829875883
2023-02-03,394.282470703125,398.70003602985804,393.0776695484089,393.5557615392747,94736800,-0.010628971697529521,-0.010685862704916234
2023-02-06,391.8728332519531,393.26888274999055,390.21865378736663,391.8346069060138,60295300,-0.0061114496083855,-0.006130200954182879
2023-02-07,396.998046875,398.2410744328294,389.71192928803475,390.95495684586416,90990700,0.013078767365717336,0.012993978774480703
2023-02-08,392.6569519042969,396.36695047559357,391.9684982603406,395.02829871801737,76227500,-0.010934801833093033,-0.010995026208806649
2023-02-09,389.2528991699219,396.40516522520073,388.028984948847,396.25217230001425,78694900,-0.008669279170701372,-0.008707075977298816
2023-02-10,390.1612854003906,390.54375312300726,387.26404936045475,388.07678232835883,70769700,0.0023336659339106003,0.0023309471645431333
2023-02-13,394.74139404296875,394.875273798094,390.3525133608386,390.81149214644563,64913500,0.011739013618119243,0.011670645923795301
2023-02-14,394.5597229003906,396.864100329501,390.6106788806823,393.22104214899304,88389300,-0.0004602282540410174,-0.0004603341915688021
2023-02-15,395.8410339355469,395.91751581058026,391.5286350725414,392.3700815999979,61555700,0.00324744509078978,0.0032421835289922853
2023-02-16,390.3907470703125,394.8178830322616,390.25689650308516,390.87841017898984,76431500,-0.013768877902945786,-0.013864548098220294
2023-02-17,389.4154357910156,389.65448174842203,386.34606468801917,388.26800352329917,89257800,-0.002498295071325596,-0.002501421017900613
2023-02-21,381.60345458984375,386.4513142893378,381.34529542458307,385.39950609313314,82655900,-0.020060789797157086,-0.020264739646746934
2023-02-22,381.07757568359375,383.5540887169433,379.62415734279705,382.01461731866567,83742300,-0.0013780769013614913,-0.001379027322603913
2023-02-23,383.1047058105469,384.5772374212778,378.8879306391957,383.9652656213402,96242400,0.005319468413529149,0.005305370016645219
2023-02-24,379.0121765136719,379.84405183245593,376.3922419822525,378.0942481460913,108194400,-0.010682534656462406,-0.010740002564846658
2023-02-27,380.3030700683594,383.7070827492521,379.36599925020045,382.3492886397092,80444700,0.003405942169356413,0.00340015508491969
2023-02-28,378.89739990234375,381.78506445797404,378.79220451109035,379.82489935060727,96438600,-0.003696184113798906,-0.0037030318812476025
2023-03-01,377.4440002441406,379.3085704071732,376.14360422634064,378.08465625730815,99706800,-0.003835866011690059,-0.0038432418134864443
2023-03-02,380.3794860839844,381.22093252105213,375.13958820432623,375.47425838003477,85127800,0.007777275140007589,0.00774718803216435
2023-03-03,386.4800109863281,386.7286281625777,381.54609807414363,382.1962961869598,90120000,0.016037996594266524,0.015910746679697326
2023-03-06,386.7476806640625,389.5971190249731,386.3078442662089,387.30225445436355,72795900,0.000692583497529986,0.0006923437722595855
2023-03-07,380.81939697265625,386.9389980101572,380.2074543771584,386.69995200651795,108310600,-0.01532855654422316,-0.015447253396913819
2023-03-08,381.4409484863281,382.1963128648765,379.21302334137835,380.9341721144572,74746600,0.001632142476494014,0.0016308119794726276
2023-03-09,374.4034118652344,383.88877016600645,373.4185434936177,382.2249901315046,111945300,-0.018449871858333022,-0.018622193577782813
2023-03-10,369.00091552734375,375.9332484862883,367.48058669730784,373.8583166785041,189253000,-0.014429612996783359,-0.014534732308465326
2023-03-13,368.4750061035156,373.2846390345943,363.9713881978472,365.0805650006383,157790000,-0.0014252252547302113,-0.0014262418542806158
2023-03-14,374.56597900390625,376.2106166958166,370.09101558517847,373.3898621469937,149752400,0.01653021995928672,0.016395083068147825
2023-03-15,372.2232971191406,372.42408758364206,366.8973453679593,368.9818486133687,172996900,-0.006254390457445136,-0.00627403109374014
2023-03-16,378.75396728515625,379.0982086417623,369.3642641428275,369.8710404113854,143254200,0.017545033361856754,0.01739289618751143
2023-03-17,374.32537841796875,378.5582467760813,372.943216125859,377.42565051475987,140553400,-0.011692521398339095,-0.01176141649146374
2023-03-20,377.9247131347656,378.33746367070916,374.40214170963634,375.1028011958168,93055800,0.00961552415176592,0.009569589223604543
2023-03-21,382.8870849609375,383.3670015855469,379.69082383763816,381.28415054635593,91524200,0.01313058303335235,0.013045124197964317
2023-03-22,376.3601989746094,386.3232727268631,376.3218267349629,382.71431965042825,111746600,-0.017046503375777178,-0.017193467559073795
2023-03-23,377.3777160644531,383.2518918682351,374.670978808423,379.22057981492253,119351300,0.002703572515414754,0.002699924436992154
