snapshot_date,expiry,option_type,strike,bid,ask,last,volume,open_interest,spot,multiplier,mid,spread,quote_valid,invalid_reason,time_to_expiry_days,time_to_expiry,forward,log_moneyness,no_arbitrage_pass,arbitrage_note,iv,iv_error,arb_lower_bound,arb_upper_bound,quality,butterfly_ok
2026-09-04,2026-09-08,put,725.0,0.03,0.04,0.03,167.0,145.0,773.17,100,0.035,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.0646341412487703,True,,0.2441128623276156,,0.0,724.6822614272409,good,False
2026-09-04,2026-09-08,call,726.0,46.55,47.86,47.72,2.0,9.0,773.17,100,47.205,1.3100000000000025,True,,4.0,0.010958904109589,773.4072830881462,-0.0632557812786489,False,below_european_lower_bound,,market_price is below the no-arbitrage lower bound.,47.38650636750231,773.0683295346428,good,False
2026-09-04,2026-09-08,put,726.0,0.03,0.04,0.04,17.0,95.0,773.17,100,0.035,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.0632557812786489,True,,0.2394687502947588,,0.0,725.6818231671405,good,True
2026-09-04,2026-09-08,call,727.0,45.5,46.86,38.03,0.0,36.0,773.17,100,46.18,1.3599999999999994,True,,4.0,0.010958904109589,773.4072830881462,-0.0618793185699257,False,below_european_lower_bound,,market_price is below the no-arbitrage lower bound.,46.38694462760259,773.0683295346428,good,True
2026-09-04,2026-09-08,put,727.0,0.03,0.04,0.03,1.0,306.0,773.17,100,0.035,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.0618793185699257,True,,0.2348224371444127,,0.0,726.6813849070402,good,True
2026-09-04,2026-09-08,call,728.0,44.55,45.8,45.96,4.0,9.0,773.17,100,45.175,1.25,True,,4.0,0.010958904109589,773.4072830881462,-0.060504747906759,False,below_european_lower_bound,,market_price is below the no-arbitrage lower bound.,45.38738288770298,773.0683295346428,good,True
2026-09-04,2026-09-08,put,728.0,0.03,0.04,0.03,25.0,361.0,773.17,100,0.035,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.060504747906759,True,,0.2301736799827127,,0.0,727.6809466469398,good,True
2026-09-04,2026-09-08,call,729.0,43.51,44.86,36.03,0.0,78.0,773.17,100,44.185,1.3500000000000014,True,,4.0,0.010958904109589,773.4072830881462,-0.0591320640947869,False,below_european_lower_bound,,market_price is below the no-arbitrage lower bound.,44.38782114780338,773.0683295346428,good,True
2026-09-04,2026-09-08,put,729.0,0.03,0.04,0.03,341.0,237.0,773.17,100,0.035,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.0591320640947869,True,,0.2255222538010497,,0.0,728.6805083868394,good,True
2026-09-04,2026-09-08,call,730.0,42.86,43.68,43.89,6.0,104.0,773.17,100,43.27,0.8200000000000003,True,,4.0,0.010958904109589,773.4072830881462,-0.0577612619610082,False,below_european_lower_bound,,market_price is below the no-arbitrage lower bound.,43.38825940790366,773.0683295346428,good,False
2026-09-04,2026-09-08,put,730.0,0.03,0.04,0.04,252.0,448.0,773.17,100,0.035,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.0577612619610082,True,,0.2208679073728175,,0.0,729.6800701267391,good,True
2026-09-04,2026-09-08,call,731.0,41.51,42.86,35.26,0.0,90.0,773.17,100,42.185,1.3500000000000014,True,,4.0,0.010958904109589,773.4072830881462,-0.0563923363536664,False,below_european_lower_bound,,market_price is below the no-arbitrage lower bound.,42.388697668004056,773.0683295346428,good,True
2026-09-04,2026-09-08,put,731.0,0.03,0.04,0.04,18.0,222.0,773.17,100,0.035,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.0563923363536664,True,,0.2162103656508919,,0.0,730.6796318666387,good,True
2026-09-04,2026-09-08,call,732.0,40.56,41.8,41.89,2.0,12.0,773.17,100,41.18,1.2399999999999949,True,,4.0,0.010958904109589,773.4072830881462,-0.0550252821421334,False,below_european_lower_bound,,market_price is below the no-arbitrage lower bound.,41.38913592810445,773.0683295346428,good,True
2026-09-04,2026-09-08,put,732.0,0.03,0.04,0.05,47.0,157.0,773.17,100,0.035,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.0550252821421334,True,,0.2115493642361043,,0.0,731.6791936065383,good,True
2026-09-04,2026-09-08,call,733.0,39.51,40.87,32.99,0.0,9.0,773.17,100,40.19,1.3599999999999994,True,,4.0,0.010958904109589,773.4072830881462,-0.0536600942167935,False,below_european_lower_bound,,market_price is below the no-arbitrage lower bound.,40.38957418820473,773.0683295346428,good,False
2026-09-04,2026-09-08,put,733.0,0.03,0.04,0.04,33.0,436.0,773.17,100,0.035,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.0536600942167935,True,,0.206884609947298,,0.0,732.678755346438,good,True
2026-09-04,2026-09-08,call,734.0,38.57,39.81,39.8,2.0,53.0,773.17,100,39.19,1.240000000000002,True,,4.0,0.010958904109589,773.4072830881462,-0.0522967674889294,False,below_european_lower_bound,,market_price is below the no-arbitrage lower bound.,39.39001244830513,773.0683295346428,good,False
